"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","25.6470588235294","34","White",19.8777363255212,25.0203420019446
"blue","25.6470588235294","34","Black",3.18465774426752,23.752152363487
"blue","25.6470588235294","34","Asian",3.40942832325456,24.2947079487602
"blue","25.6470588235294","34","Hispanic",6.18803688739967,28.7786202357493
"blue","25.6470588235294","34","American_Indian",0.0262347515063902,41.7861588882868
"blue","25.6470588235294","34","Others",1.3139059680507,28.1597659006378
"orange","25.3611111111111","36","White",8.07268377175459,24.3898363414797
"orange","25.3611111111111","36","Black",15.4646303427409,20.7086075809675
"orange","25.3611111111111","36","Asian",1.2493600826953,26.7143122986977
"orange","25.3611111111111","36","Hispanic",10.8049651558304,32.8312082502783
"orange","25.3611111111111","36","American_Indian",0.0063441712926249,1
"orange","25.3611111111111","36","Others",0.402016475686146,19.2415050717226
"brown","30.5","4","White",0.282105335270537,32.5008152049944
"brown","30.5","4","Black",0.835170155698066,11.3482313792366
"brown","30.5","4","Asian",0.241657885493502,29
"brown","30.5","4","Hispanic",2.55325489189055,36.7370386180272
"brown","30.5","4","American_Indian",0,NA
"brown","30.5","4","Others",0.0878117316473481,29
"yellow","21.5","2","White",0,NA
"yellow","21.5","2","Black",1.95970009372071,21.3457675753228
"yellow","21.5","2","Asian",0,NA
"yellow","21.5","2","Hispanic",0.0402999062792877,29
"yellow","21.5","2","American_Indian",0,NA
"yellow","21.5","2","Others",0,NA
"green","28","35","White",13.3325929297896,25.891665630587
"green","28","35","Black",7.79961962245366,24.4095995686957
"green","28","35","Asian",4.84693828589753,21.5041170967076
"green","28","35","Hispanic",8.39253929910202,38.1727433330906
"green","28","35","American_Indian",0.0321403694981591,42.8235294117647
"green","28","35","Others",0.596169493259013,30.9301787712406
"purple","28.2432432432432","37","White",25.0870198457998,27.0350338767759
"purple","28.2432432432432","37","Black",2.78073571559256,29.5618202585109
"purple","28.2432432432432","37","Asian",3.12499250584106,32.3462150126424
"purple","28.2432432432432","37","Hispanic",4.51567191957825,31.6819339896065
"purple","28.2432432432432","37","American_Indian",0.00540865384615385,5
"purple","28.2432432432432","37","Others",1.48617135934214,27.1799187125391
"all","24.777027027027","148","White",66.6521382081357,22.3006924656993
"all","24.777027027027","148","Black",32.0245136744735,22.991308706555
"all","24.777027027027","148","Asian",12.872377083182,22.5710432928746
"all","24.777027027027","148","Hispanic",32.4947680600802,32.5682675444796
"all","24.777027027027","148","American_Indian",0.0701279461433281,34.0168856091822
"all","24.777027027027","148","Others",3.88607502798535,23.9570435918895
"all color","24.777027027027","148","blue",34,24.0588235294118
"all color","24.777027027027","148","orange",36,28.0833333333333
"all color","24.777027027027","148","brown",4,32.75
"all color","24.777027027027","148","yellow",2,25.5
"all color","24.777027027027","148","green",35,27
"all color","24.777027027027","148","purple",37,19.2162162162162
"default","31.0810810810811","148","White",66.6521382081357,30.4456620079752
"default","31.0810810810811","148","Black",32.0245136744735,31.8537419634548
"default","31.0810810810811","148","Asian",12.872377083182,30.7610799404074
"default","31.0810810810811","148","Hispanic",32.4947680600802,31.9442577115083
"default","31.0810810810811","148","American_Indian",0.0701279461433281,32.7567302133235
"default","31.0810810810811","148","Others",3.88607502798535,29.4241115297692
"default color","31.0810810810811","148","blue",34,28.8529411764706
"default color","31.0810810810811","148","orange",36,33.1944444444444
"default color","31.0810810810811","148","brown",4,35.75
"default color","31.0810810810811","148","yellow",2,39.5
"default color","31.0810810810811","148","green",35,30.8571428571429
"default color","31.0810810810811","148","purple",37,30.3243243243243
